report_id,coder_id,article_id,city,event_date,side,tactics,participants,num_participants,part_violence,police_eng,end_activity,dist_cause,slogans
1371,03,1528106856Köln_article_389,Köln,2016-01-11,pro-pegida,demonstration,Pegida;Pro NRW,NA,NA,2,NA,NA,NA
1372,03,1528106834Köln_article_388,Köln,2016-01-11,pro-pegida,demonstration,Pegida;far-right parties;hooligans,NA,4,2,2,ended by police because of violence by participants,NA
1373,03,1528106809Köln_article_387,Köln,2016-01-09,pro-pegida,demonstration,Pegida;hooligans,1700,4,2,2,ended by police because of violence by participants,Abschieben
1374,03,1528106809Köln_article_387,Köln,2016-01-09,anti-pegida,demonstration,Köln gegen Rechts,1300,NA,NA,NA,NA,NA
1375,03,1528106679Köln_article_386,Köln,2016-01-09,pro-pegida,demonstration,Pegida;hooligans;right-wing extremists,NA,4,2,2,ended by police because of violence by participants,NA
1376,03,1528106602Köln_article_383,Köln,2016-01-09,pro-pegida,demonstration,Pegida;right-wing extremists,NA,NA,2,2,ended by police,NA
1377,03,1528106602Köln_article_383,Köln,2016-01-09,anti-pegida,demonstration,NA,1300,NA,NA,NA,NA,NA
1378,03,1528106556Köln_article_381,Köln,2016-01-09,pro-pegida,demonstration,Pegida;hooligans;right-wing extremists,1700,4,2,2,ended by police because of violence by participants,NA
1379,03,1528106556Köln_article_381,Köln,2016-01-09,pro-pegida,demonstration,Köln gegen Rechts,1700,NA,NA,NA,NA,Nazis raus
1380,03,1528106345Köln_article_376,Köln,2016-01-09,pro-pegida,demonstration,Pegida;right-wing extremists,NA,NA,2,2,ended by police,NA
1381,03,1528106345Köln_article_376,Köln,2016-01-09,anti-pegida,demonstration,NA,1300,NA,NA,NA,NA,NA
1382,03,1528106325Köln_article_375,Köln,2016-01-09,pro-pegida,demonstration,Pegida;far-right parties;hooligans,1700,4,2,2,ended by police because of violence by participants,NA
1383,03,1528106325Köln_article_375,Köln,2016-01-09,anti-pegida,demonstration,NA,1300,NA,NA,NA,NA,NA
1384,03,1528106304Köln_article_374,Köln,2016-01-09,pro-pegida,demonstration,Pegida;Pro NRW;hooligans,NA,4,2,2,ended by police because of violence by participants,Abschieben
1385,03,1528106304Köln_article_374,Köln,2016-01-09,anti-pegida,demonstration,NA,NA,NA,NA,NA,NA,Nazis raus
1386,03,1528106282Köln_article_373,Köln,2016-01-09,anti-pegida,demonstration,Pegida;far-right parties;hooligans,1700,4,2,2,ended by police because of violence by participants,NA
1387,03,1528106237Köln_article_371,Köln,2016-01-09,pro-pegida,demonstration,Pegida NRW,1700,4,2,2,ended by police because of violence by participants,NA
1388,03,1528106237Köln_article_371,Köln,2016-01-09,anti-pegida,demonstration,NA,1400,NA,NA,NA,NA,NA
1389,03,1528106190Köln_article_369,Köln,2016-01-09,pro-pegida,demonstration,Pegida;hooligans;right-wing extremists,1700,4,2,2,ended by police because of violence by participants,NA
1390,03,1528106190Köln_article_369,Köln,2016-01-09,anti-pegida,demonstration,NA,1400,NA,NA,NA,NA,NA
1391,03,1528106098Köln_article_365,Köln,2016-01-11,pro-pegida,demonstration,Pegida;hooligans,NA,4,2,NA,NA,NA
